lead_time,variable,level,acc,rmse
48,specific_humidity,500,0.5355979285799963,0.0007639036944123152
54,specific_humidity,500,0.4952635223692417,0.0008086697656341044
60,specific_humidity,500,0.4611246734977379,0.0008458162223387536
66,specific_humidity,500,0.4278297899917621,0.0008819244144593698
72,specific_humidity,500,0.40236106378244446,0.0009153896674551353
78,specific_humidity,500,0.3962363133495869,0.0009308679613458786
84,specific_humidity,500,0.3789899498361574,0.0009570717942818376
90,specific_humidity,500,0.35746343200988473,0.0009865205608417596
96,specific_humidity,500,0.3238295914038712,0.001024353455214814
102,specific_humidity,500,0.30926068022661485,0.001034116819093328
108,specific_humidity,500,0.2894614617577192,0.0010546927518082102
114,specific_humidity,500,0.27742459535990194,0.0010722365011898002
120,specific_humidity,500,0.24680877161221706,0.001103058458270687
6,specific_humidity,850,0.9573672227691615,0.0004301537139942504
12,specific_humidity,850,0.8706678676792657,0.000754189145142176
18,specific_humidity,850,0.8019419931273739,0.0009357497365332588
24,specific_humidity,850,0.7328161526930246,0.001091228128347749
30,specific_humidity,850,0.6755320085258897,0.0011996461053481854
36,specific_humidity,850,0.5850508548353862,0.0013813837680194192
42,specific_humidity,850,0.5217673278911206,0.0015050199879291179
48,specific_humidity,850,0.4700434267378716,0.001629269278259937
54,specific_humidity,850,0.4328008143941626,0.0017141637149501857
60,specific_humidity,850,0.36132003309002053,0.0018968973819478046
66,specific_humidity,850,0.31565547241103986,0.0020241195989686477
72,specific_humidity,850,0.30713509005183653,0.002103810182343541
78,specific_humidity,850,0.27554146907088484,0.0021769099906452467
84,specific_humidity,850,0.23984706010429035,0.002319510164642904
90,specific_humidity,850,0.20230356805380548,0.0024540720452718417
96,specific_humidity,850,0.17524721981031147,0.002570938529681318
102,specific_humidity,850,0.14772617040698144,0.0026530561165570353
108,specific_humidity,850,0.11884842956335971,0.0027826621767774802
114,specific_humidity,850,0.08004453375048431,0.0028995466665455083
120,specific_humidity,850,0.08069091616757343,0.0029665910954893735
6,temperature,250,0.9715311454931643,0.7303095994644732
12,temperature,250,0.9212251648944066,1.2105601510128436
18,temperature,250,0.8616011629604283,1.5954276253616417
24,temperature,250,0.8092467875345987,1.8930657542670983
30,temperature,250,0.7520667637775061,2.157990244771179
36,temperature,250,0.6748168100654262,2.4949919731367425
42,temperature,250,0.6083261874053146,2.757121999100629
48,temperature,250,0.5528965516357053,2.956039946600261
54,temperature,250,0.5117743143729627,3.0481608631838233
60,temperature,250,0.45213644657407176,3.2419551220540344
66,temperature,250,0.4061749592720184,3.4155111979463126
72,temperature,250,0.3888276161926767,3.522162939919348
78,temperature,250,0.38619095595994946,3.540735391715235
84,temperature,250,0.35573041104084624,3.672378880080234
90,temperature,250,0.3395046895382587,3.788062839177641
96,temperature,250,0.3390811384024351,3.8430678226109407
102,temperature,250,0.33121154556188115,3.8607167597363348
108,temperature,250,0.31002581513114547,3.9570200831618574
114,temperature,250,0.29953288325268,4.061987854807942
120,temperature,250,0.3020294748318321,4.102476499395868
6,temperature,500,0.9806784839537792,0.6289812539189888
12,temperature,500,0.949243966750254,1.036402300970992
18,temperature,500,0.9105513569024366,1.396407701187221
24,temperature,500,0.8534704526394451,1.7913685199441804
30,temperature,500,0.8003145983321769,2.077021803703434
36,temperature,500,0.7324957551963861,2.38439073879548
42,temperature,500,0.663131530869094,2.672964228382803
48,temperature,500,0.6155392567876535,2.8416769432221574
54,temperature,500,0.581592090444725,2.9475081895670465
60,temperature,500,0.5283859471215093,3.143807473048819
66,temperature,500,0.47136642103227877,3.38730313150278
72,temperature,500,0.4375218604348673,3.504485043303851
78,temperature,500,0.4211690942844356,3.5528631129245385
84,temperature,500,0.40901372523117474,3.6376814767284533
90,temperature,500,0.39205978250933005,3.784057540481971
96,temperature,500,0.3924575622785579,3.8504999011689014
